No,Date,Tavg,RH_avg,RR,ff_avg,ss
372,07/01/2020,26.2,87,8.2,4,6.2
373,08/01/2020,28.1,79,3.6,5,2.7
374,09/01/2020,27.9,80,2.94,4,7.4
375,10/01/2020,27.7,82,1.7,3,6.9
376,11/01/2020,27.4,82,0,3,1.8
377,12/01/2020,27.8,78,0,4,3
378,13/01/2020,27.5,78,0,4,7.9
379,14/01/2020,28.1,74,2.94,4,9.1
380,15/01/2020,27.1,80,2,4,7.4
381,16/01/2020,27.7,80,0.5,3,6.2
382,17/01/2020,28.1,74,0,4,0
383,18/01/2020,28,82,0,4,10.1
384,19/01/2020,28.6,79,2.94,5,9.2
385,20/01/2020,28.7,77,0,6,10.5
386,21/01/2020,26.5,90,6.5,4,3.7
387,22/01/2020,28.6,78,7.3,4,0.1
388,23/01/2020,28.2,80,0,6,10.8
389,24/01/2020,28.3,76,0,5,10.4
390,25/01/2020,27.9,75,0,4,6.2
391,26/01/2020,27.9,79,2.94,4,10.8
392,27/01/2020,28.2,80,0,4,10.3
393,28/01/2020,28.3,80,2.94,3,6.2
394,29/01/2020,27,86,0,3,10.4
395,30/01/2020,26.7,84,37.1,4,3.3
396,31/01/2020,28.7,72,0,6,4.5
397,01/02/2020,28.6,76,0,6,10.4
398,02/02/2020,27.2,82,2,5,10.1
399,03/02/2020,28.1,73,0,4,3.5
400,04/02/2020,27.7,72,1.88,4,9.3
401,05/02/2020,28,76,1.88,4,8.5
402,06/02/2020,28,77,0,5,9
403,07/02/2020,28.3,72,0,4,9.1
404,08/02/2020,27.7,71,0,3,7.4
405,09/02/2020,26.4,85,1.88,2,2.5
406,10/02/2020,26.9,84,13.8,3,0
407,11/02/2020,27.1,88,0,4,7.5
408,12/02/2020,28.1,84,0.4,4,4.9
409,13/02/2020,27.6,84,15.5,4,6.3
410,14/02/2020,28,79,0,4,9.5
411,15/02/2020,28,78,1.88,3,9.9
412,16/02/2020,28,81,0,3,10.8
413,17/02/2020,28.2,76,0,3,4.4
414,18/02/2020,26.8,85,1.88,4,10.2
415,19/02/2020,28.7,74,0,5,6.6
416,20/02/2020,28.1,76,2.2,4,9
417,21/02/2020,26.7,87,1.2,5,9.9
418,22/02/2020,28.7,74,2.2,5,9
419,23/02/2020,28.7,73,1.88,5,9.8
420,24/02/2020,27.2,82,0.2,5,9.8
421,25/02/2020,28.2,77,4,5,2.2
422,26/02/2020,28.5,76,0,4,10.6
423,27/02/2020,28.4,76,0,4,11
424,28/02/2020,28.4,78,1.88,5,10.6
425,29/02/2020,28.1,73,0,4,8.8
426,01/03/2020,28.4,74,1.28,4,10.1
427,02/03/2020,27.6,81,0,4,9.6
428,03/03/2020,28.4,78,0,4,10.5
429,04/03/2020,28.7,77,1.28,4,9
430,05/03/2020,28,78,0,2,7.9
431,06/03/2020,28.5,81,1.28,3,0
432,07/03/2020,28,86,1.28,3,1.9
433,08/03/2020,28.2,82,10,2,6.4
434,09/03/2020,27.6,85,1.28,3,7.6
435,10/03/2020,28.5,80,0,4,8.6
436,11/03/2020,29,80,1.28,4,8.7
437,12/03/2020,29,72,1.28,4,9.3
438,13/03/2020,29.1,77,0,4,9.4
439,14/03/2020,29.4,76,0,4,10.5
440,15/03/2020,29.6,76,0,5,7.8
441,16/03/2020,29.6,75,1.6,5,10.1
442,17/03/2020,29.1,68,1.28,5,9.6
443,18/03/2020,29.1,74,0,4,10
444,19/03/2020,28.6,71,0,4,10
445,20/03/2020,28.4,73,0,4,8.8
446,21/03/2020,28.8,75,1.28,3,5.4
447,22/03/2020,28.9,78,1.3,3,4.1
448,23/03/2020,26.5,91,6.8,1,7.4
449,24/03/2020,28,84,8.6,3,0.9
450,25/03/2020,28.6,81,0,4,9.4
451,26/03/2020,29.2,80,0,4,8.7
452,27/03/2020,29,80,0,3,7.5
453,28/03/2020,28.3,82,0,3,8.1
454,29/03/2020,29,72,0,4,7.7
455,30/03/2020,28.8,73,0,4,9.3
456,31/03/2020,29.3,74,0,3,9.2
457,01/04/2020,29,79,0,3,7.8
458,02/04/2020,29.4,79,0,4,9.9
459,03/04/2020,29.8,75,0,3,9
460,04/04/2020,29.5,79,0,3,9.4
461,05/04/2020,29.2,80,0,3,4.5
462,06/04/2020,28.9,80,0,2,6.3
463,07/04/2020,26.8,88,62.3,2,4
464,08/04/2020,28.6,82,5.98,3,1.2
465,09/04/2020,29.3,78,0,3,9.1
466,10/04/2020,28.4,78,0,3,7.5
467,11/04/2020,28.5,84,0.2,2,8.1
468,12/04/2020,28.8,82,1,3,3.3
469,13/04/2020,27.9,87,32.4,4,3.8
470,14/04/2020,29.6,73,0,3,6.4
471,15/04/2020,29.6,74,0,4,7.7
472,16/04/2020,29.9,69,0,4,10.2
473,17/04/2020,29,79,0,2,6.3
474,18/04/2020,29.1,78,0,3,7.7
475,19/04/2020,29.5,76,0,4,7.2
476,20/04/2020,30.4,74,0,4,9.7
477,21/04/2020,28.8,80,0,2,10
478,22/04/2020,29.2,80,5.98,2,5.2
479,23/04/2020,27.4,89,0,1,5.8
480,24/04/2020,28,86,7.5,1,5.3
481,25/04/2020,28.2,81,0.5,2,4.5
482,26/04/2020,28.5,80,2,1,5.5
483,27/04/2020,28,83,0.2,2,3.1
484,28/04/2020,27.4,90,4,2,1
485,29/04/2020,27,90,41.6,1,3.1
486,30/04/2020,27.3,93,15.8,1,6.3
487,01/05/2020,27.1,90,41.9,2,0.3
488,02/05/2020,28,86,2.6,1,0.3
489,03/05/2020,28.1,88,6.3,1,2.2
490,04/05/2020,28.4,89,19.5,1,2.9
491,05/05/2020,28.4,84,36.4,1,2.9
492,06/05/2020,28.3,86,25.7,2,6.4
493,07/05/2020,28.8,86,0.1,2,3.4
494,08/05/2020,28.3,80,4.3,3,7.6
495,09/05/2020,29.8,78,0,3,4.5
496,10/05/2020,29.8,82,17.32,3,10.4
497,11/05/2020,29.7,82,17.32,2,2.7
498,12/05/2020,28.9,85,24,2,1.5
499,13/05/2020,26.5,86,7.4,2,4.4
500,14/05/2020,28.6,81,1.6,2,1.5
501,15/05/2020,29.2,82,0,2,8.4
502,16/05/2020,29.1,82,3,2,7.2
503,17/05/2020,27.9,89,1.2,2,6.5
504,18/05/2020,28.6,84,98.7,2,4.5
505,19/05/2020,29.4,85,17.32,2,5.1
506,20/05/2020,28.4,79,0,2,5.9
507,21/05/2020,28.7,81,3.7,1,2.2
508,22/05/2020,28.6,84,0,2,6.5
509,23/05/2020,27.2,86,6.7,1,1.6
510,24/05/2020,28.3,86,0.2,2,0.4
511,25/05/2020,29.4,82,17.32,2,2
512,26/05/2020,29.2,77,17.32,1,7.4
513,27/05/2020,27.3,89,115.2,1,5.8
514,28/05/2020,29,84,17.32,2,0
515,29/05/2020,28.7,83,0,1,2.2
516,30/05/2020,28.9,83,17.32,2,6.4
517,31/05/2020,28.6,82,17.32,1,7.4
518,01/06/2020,26.6,90,11.9,2,7.6
519,02/06/2020,27.4,90,4.3,1,3
520,03/06/2020,27.4,89,40,2,6.3
521,04/06/2020,28.2,83,3.8,3,5.2
522,05/06/2020,27.1,91,2.2,3,5.2
523,06/06/2020,26.1,89,29.7,1,2.8
524,07/06/2020,27.9,86,0.7,1,0
525,08/06/2020,28.5,85,0.5,1,3.2
526,09/06/2020,29.2,82,17.9,3,4.6
527,10/06/2020,29.4,79,0,3,7.5
