Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_avg
24-03-2023,24.2,32.5,28,84,0,3.5,2
25-03-2023,24.4,34.2,28.7,82,8888,5.3,1
26-03-2023,24.4,32.9,27.5,87,21,5.2,2
27-03-2023,23.9,32.6,26.8,88,0,4.8,1
28-03-2023,24.6,31.8,26.7,88,10.8,1.4,1
29-03-2023,24,33.3,27.9,82,7.1,1.3,2
30-03-2023,24.2,33.9,28,84,0,4.8,2
31-03-2023,24.6,32.7,26.4,89,0.8,5.7,2
01-04-2023,23.8,33.4,26.8,86,37.3,3.5,1
02-04-2023,24.5,32.2,26.5,88,7.5,6.7,1
03-04-2023,23.6,33.5,27.3,86,7.6,2.8,2
04-04-2023,23.6,32,26.5,86,2,6,2
05-04-2023,23.6,29.4,25.9,90,7.8,2.8,1
06-04-2023,23.6,33.2,26.4,86,8888,0,1
07-04-2023,23.4,33.2,27.6,80,2,3.2,2
08-04-2023,24.4,33.2,28.4,78,0,7.2,1
09-04-2023,23.6,34.2,28.3,76,0,2.5,4
10-04-2023,24.4,33.3,28.3,76,0,9.2,4
11-04-2023,23.8,34.5,27.9,81,8888,8.3,2
12-04-2023,25.2,32.8,27.4,92,8888,7.3,1
13-04-2023,24.6,33.1,27,90,16.3,2.7,1
14-04-2023,24.4,28,26,92,20.4,5.5,1
15-04-2023,24.8,33.4,27.3,87,0.5,0,1
16-04-2023,23.8,31.9,26,92,4.5,4.5,1
17-04-2023,24.2,33.4,28.2,84,1.5,2.3,1
18-04-2023,24.2,32.9,27.7,86,0,6,1
19-04-2023,24.2,33.2,28.1,84,0,2.4,1
20-04-2023,24.4,31.4,27.2,92,0,7,1
21-04-2023,25,31.4,27.6,86,7,5.9,2
22-04-2023,25.3,29.2,26.7,92,2.5,1.7,2
23-04-2023,24,32.2,27.3,86,8,0.7,1
24-04-2023,23.2,34.1,28,82,8888,6.9,2
25-04-2023,24.2,34,28.8,81,0,8.7,2
26-04-2023,25.2,33.8,28.3,84,1,8.4,2
